"VERSIONS","LEVEL_ID","TERRITORY_ID","NAME_HTML","YEAR","DATE","UNIT","VALUE"
"2016","2","BE23","Prov. Oost-Vlaanderen","2022","2022","PC","2869279.0"
"2016","2","BE23","Prov. Oost-Vlaanderen","2023","2023","PC","3050344.0"
"2016","2","BE23","Prov. Oost-Vlaanderen","2024","2024","PC","2946412.0"
"2016","2","BE24","Prov. Vlaams-Brabant","2019","2019","PC","2348709.0"
"2016","2","BE24","Prov. Vlaams-Brabant","2020","2020","PC","805360.0"
"2016","2","BE24","Prov. Vlaams-Brabant","2021","2021","PC","1076461.0"
"2016","2","BE24","Prov. Vlaams-Brabant","2022","2022","PC","2127693.0"
"2016","2","BE24","Prov. Vlaams-Brabant","2023","2023","PC","2347029.0"
"2016","2","BE24","Prov. Vlaams-Brabant","2024","2024","PC","2367954.0"
"2016","2","BE25","Prov. West-Vlaanderen","2019","2019","PC","12117431.0"
"2016","2","BE25","Prov. West-Vlaanderen","2020","2020","PC","6843417.0"
"2016","2","BE25","Prov. West-Vlaanderen","2021","2021","PC","10573285.0"
"2016","2","BE25","Prov. West-Vlaanderen","2022","2022","PC","12391043.0"
"2016","2","BE25","Prov. West-Vlaanderen","2023","2023","PC","12149691.0"
"2016","2","BE25","Prov. West-Vlaanderen","2024","2024","PC","12139852.0"
"2016","2","BE31","Prov. Brabant Wallon","2019","2019","PC","507424.0"
"2016","2","BE31","Prov. Brabant Wallon","2020","2020","PC","196377.0"
"2016","2","BE31","Prov. Brabant Wallon","2021","2021","PC","317903.0"
"2016","2","BE31","Prov. Brabant Wallon","2022","2022","PC","517975.0"
"2016","2","BE31","Prov. Brabant Wallon","2023","2023","PC","552952.0"
"2016","2","BE31","Prov. Brabant Wallon","2024","2024","PC","572017.0"
"2016","2","BE32","Prov. Hainaut","2019","2019","PC","1337620.0"
"2016","2","BE32","Prov. Hainaut","2020","2020","PC","677447.0"
"2016","2","BE32","Prov. Hainaut","2021","2021","PC","985025.0"
"2016","2","BE32","Prov. Hainaut","2022","2022","PC","1367967.0"
"2016","2","BE32","Prov. Hainaut","2023","2023","PC","1399808.0"
"2016","2","BE32","Prov. Hainaut","2024","2024","PC","1350069.0"
"2016","2","BE33","Prov. Liège","2019","2019","PC","2590225.0"
"2016","2","BE33","Prov. Liège","2020","2020","PC","1553652.0"
"2016","2","BE33","Prov. Liège","2021","2021","PC","2069236.0"
"2016","2","BE33","Prov. Liège","2022","2022","PC","2766896.0"
"2016","2","BE33","Prov. Liège","2023","2023","PC","2820576.0"
"2016","2","BE33","Prov. Liège","2024","2024","PC","2724437.0"
"2016","2","BE34","Prov. Luxembourg (BE)","2019","2019","PC","2881127.0"
"2016","2","BE34","Prov. Luxembourg (BE)","2020","2020","PC","1902634.0"
"2016","2","BE34","Prov. Luxembourg (BE)","2021","2021","PC","2516831.0"
"2016","2","BE34","Prov. Luxembourg (BE)","2022","2022","PC","3200491.0"
"2016","2","BE34","Prov. Luxembourg (BE)","2023","2023","PC","3184468.0"
"2016","2","BE34","Prov. Luxembourg (BE)","2024","2024","PC","3037152.0"
"2016","2","BE35","Prov. Namur","2019","2019","PC","1410870.0"
"2016","2","BE35","Prov. Namur","2020","2020","PC","788088.0"
"2016","2","BE35","Prov. Namur","2021","2021","PC","1101507.0"
"2016","2","BE35","Prov. Namur","2022","2022","PC","1427848.0"
"2016","2","BE35","Prov. Namur","2023","2023","PC","1568822.0"
"2016","2","BE35","Prov. Namur","2024","2024","PC","1549331.0"
"2016","2","BG31","Severozapaden","2019","2019","PC","566530.0"
"2016","2","BG31","Severozapaden","2020","2020","PC","529175.0"
"2016","2","BG31","Severozapaden","2021","2021","PC","519563.0"
"2016","2","BG31","Severozapaden","2022","2022","PC","677770.0"
"2016","2","BG31","Severozapaden","2023","2023","PC","741046.0"
"2016","2","BG31","Severozapaden","2024","2024","PC","750765.0"
"2016","2","BG32","Severen tsentralen","2019","2019","PC","893810.0"
"2016","2","BG32","Severen tsentralen","2020","2020","PC","515240.0"
