"VERSIONS","LEVEL_ID","TERRITORY_ID","NAME_HTML","YEAR","DATE","UNIT","VALUE"
"2016","3","AT212","Oberkärnten","2024","2024","PC","5657428.0"
"2016","3","AT213","Unterkärnten","2019","2019","PC","1534326.0"
"2016","3","AT213","Unterkärnten","2020","2020","PC","1452384.0"
"2016","3","AT213","Unterkärnten","2021","2021","PC","1548955.0"
"2016","3","AT213","Unterkärnten","2022","2022","PC","1700591.0"
"2016","3","AT213","Unterkärnten","2023","2023","PC","1697330.0"
"2016","3","AT213","Unterkärnten","2024","2024","PC","1670614.0"
"2016","3","AT221","Graz","2019","2019","PC","1874139.0"
"2016","3","AT221","Graz","2020","2020","PC","949231.0"
"2016","3","AT221","Graz","2021","2021","PC","1131732.0"
"2016","3","AT221","Graz","2022","2022","PC","1620416.0"
"2016","3","AT221","Graz","2023","2023","PC","1824363.0"
"2016","3","AT221","Graz","2024","2024","PC","1932678.0"
"2016","3","AT222","Liezen","2019","2019","PC","3673220.0"
"2016","3","AT222","Liezen","2020","2020","PC","3290259.0"
"2016","3","AT222","Liezen","2021","2021","PC","2417532.0"
"2016","3","AT222","Liezen","2022","2022","PC","4034688.0"
"2016","3","AT222","Liezen","2023","2023","PC","4359006.0"
"2016","3","AT222","Liezen","2024","2024","PC","4353392.0"
"2016","3","AT223","Östliche Obersteiermark","2019","2019","PC","881349.0"
"2016","3","AT223","Östliche Obersteiermark","2020","2020","PC","548734.0"
"2016","3","AT223","Östliche Obersteiermark","2021","2021","PC","500910.0"
"2016","3","AT223","Östliche Obersteiermark","2022","2022","PC","693668.0"
"2016","3","AT223","Östliche Obersteiermark","2023","2023","PC","727826.0"
"2016","3","AT223","Östliche Obersteiermark","2024","2024","PC","720926.0"
"2016","3","AT224","Oststeiermark","2019","2019","PC","2408444.0"
"2016","3","AT224","Oststeiermark","2020","2020","PC","1923511.0"
"2016","3","AT224","Oststeiermark","2021","2021","PC","2023165.0"
"2016","3","AT224","Oststeiermark","2022","2022","PC","2694253.0"
"2016","3","AT224","Oststeiermark","2023","2023","PC","2702528.0"
"2016","3","AT224","Oststeiermark","2024","2024","PC","2710846.0"
"2016","3","AT225","West- und Südsteiermark","2019","2019","PC","1059196.0"
"2016","3","AT225","West- und Südsteiermark","2020","2020","PC","577245.0"
"2016","3","AT225","West- und Südsteiermark","2021","2021","PC","604357.0"
"2016","3","AT225","West- und Südsteiermark","2022","2022","PC","716578.0"
"2016","3","AT225","West- und Südsteiermark","2023","2023","PC","719401.0"
"2016","3","AT225","West- und Südsteiermark","2024","2024","PC","745836.0"
"2016","3","AT226","Westliche Obersteiermark","2019","2019","PC","1460943.0"
"2016","3","AT226","Westliche Obersteiermark","2020","2020","PC","1023510.0"
"2016","3","AT226","Westliche Obersteiermark","2021","2021","PC","875486.0"
"2016","3","AT226","Westliche Obersteiermark","2022","2022","PC","1325825.0"
"2016","3","AT226","Westliche Obersteiermark","2023","2023","PC","1402638.0"
"2016","3","AT226","Westliche Obersteiermark","2024","2024","PC","1497557.0"
"2016","3","AT311","Innviertel","2019","2019","PC","948185.0"
"2016","3","AT311","Innviertel","2020","2020","PC","634200.0"
